DATE,CPIAUCNS
1971-01-01,39.8
1971-02-01,39.9
1971-03-01,40.0
1971-04-01,40.1
1971-05-01,40.3
1971-06-01,40.6
1971-07-01,40.7
1971-08-01,40.8
1971-09-01,40.8
1971-10-01,40.9
1971-11-01,40.9
1971-12-01,41.1
1972-01-01,41.1
1972-02-01,41.3
1972-03-01,41.4
1972-04-01,41.5
1972-05-01,41.6
1972-06-01,41.7
1972-07-01,41.9
1972-08-01,42.0
1972-09-01,42.1
1972-10-01,42.3
1972-11-01,42.4
1972-12-01,42.5
1973-01-01,42.6
1973-02-01,42.9
1973-03-01,43.3
1973-04-01,43.6
1973-05-01,43.9
1973-06-01,44.2
1973-07-01,44.3
1973-08-01,45.1
1973-09-01,45.2
1973-10-01,45.6
1973-11-01,45.9
1973-12-01,46.2
1974-01-01,46.6
1974-02-01,47.2
1974-03-01,47.8
1974-04-01,48.0
1974-05-01,48.6
1974-06-01,49.0
1974-07-01,49.4
1974-08-01,50.0
1974-09-01,50.6
1974-10-01,51.1
1974-11-01,51.5
1974-12-01,51.9
1975-01-01,52.1
1975-02-01,52.5
1975-03-01,52.7
1975-04-01,52.9
1975-05-01,53.2
1975-06-01,53.6
1975-07-01,54.2
1975-08-01,54.3
1975-09-01,54.6
1975-10-01,54.9
1975-11-01,55.3
1975-12-01,55.5
1976-01-01,55.6
1976-02-01,55.8
1976-03-01,55.9
1976-04-01,56.1
1976-05-01,56.5
1976-06-01,56.8
1976-07-01,57.1
1976-08-01,57.4
1976-09-01,57.6
1976-10-01,57.9
1976-11-01,58.0
1976-12-01,58.2
1977-01-01,58.5
1977-02-01,59.1
1977-03-01,59.5
1977-04-01,60.0
1977-05-01,60.3
1977-06-01,60.7
1977-07-01,61.0
1977-08-01,61.2
1977-09-01,61.4
1977-10-01,61.6
1977-11-01,61.9
1977-12-01,62.1
1978-01-01,62.5
1978-02-01,62.9
1978-03-01,63.4
1978-04-01,63.9
1978-05-01,64.5
1978-06-01,65.2
1978-07-01,65.7
1978-08-01,66.0
1978-09-01,66.5
1978-10-01,67.1
1978-11-01,67.4
1978-12-01,67.7
1979-01-01,68.3
1979-02-01,69.1
1979-03-01,69.8
1979-04-01,70.6
1979-05-01,71.5
1979-06-01,72.3
1979-07-01,73.1
1979-08-01,73.8
1979-09-01,74.6
1979-10-01,75.2
1979-11-01,75.9
1979-12-01,76.7
1980-01-01,77.8
1980-02-01,78.9
1980-03-01,80.1
1980-04-01,81.0
1980-05-01,81.8
1980-06-01,82.7
1980-07-01,82.7
1980-08-01,83.3
1980-09-01,84.0
1980-10-01,84.8
1980-11-01,85.5
1980-12-01,86.3
1981-01-01,87.0
1981-02-01,87.9
1981-03-01,88.5
1981-04-01,89.1
1981-05-01,89.8
1981-06-01,90.6
1981-07-01,91.6
1981-08-01,92.3
1981-09-01,93.2
1981-10-01,93.4
1981-11-01,93.7
1981-12-01,94.0
1982-01-01,94.3
1982-02-01,94.6
1982-03-01,94.5
1982-04-01,94.9
1982-05-01,95.8
1982-06-01,97.0
1982-07-01,97.5
1982-08-01,97.7
1982-09-01,97.9
1982-10-01,98.2
1982-11-01,98.0
1982-12-01,97.6
1983-01-01,97.8
1983-02-01,97.9
1983-03-01,97.9
1983-04-01,98.6
1983-05-01,99.2
1983-06-01,99.5
1983-07-01,99.9
1983-08-01,100.2
1983-09-01,100.7
1983-10-01,101.0
1983-11-01,101.2
1983-12-01,101.3
1984-01-01,101.9
1984-02-01,102.4
1984-03-01,102.6
1984-04-01,103.1
1984-05-01,103.4
1984-06-01,103.7
1984-07-01,104.1
1984-08-01,104.5
1984-09-01,105.0
1984-10-01,105.3
1984-11-01,105.3
1984-12-01,105.3
1985-01-01,105.5
1985-02-01,106.0
1985-03-01,106.4
1985-04-01,106.9
1985-05-01,107.3
1985-06-01,107.6
1985-07-01,107.8
1985-08-01,108.0
1985-09-01,108.3
1985-10-01,108.7
1985-11-01,109.0
1985-12-01,109.3
1986-01-01,109.6
1986-02-01,109.3
1986-03-01,108.8
1986-04-01,108.6
1986-05-01,108.9
1986-06-01,109.5
1986-07-01,109.5
1986-08-01,109.7
1986-09-01,110.2
1986-10-01,110.3
1986-11-01,110.4
1986-12-01,110.5
1987-01-01,111.2
1987-02-01,111.6
1987-03-01,112.1
1987-04-01,112.7
1987-05-01,113.1
1987-06-01,113.5
1987-07-01,113.8
1987-08-01,114.4
1987-09-01,115.0
1987-10-01,115.3
1987-11-01,115.4
1987-12-01,115.4
1988-01-01,115.7
1988-02-01,116.0
1988-03-01,116.5
1988-04-01,117.1
1988-05-01,117.5
1988-06-01,118.0
1988-07-01,118.5
1988-08-01,119.0
1988-09-01,119.8
1988-10-01,120.2
1988-11-01,120.3
1988-12-01,120.5
1989-01-01,121.1
1989-02-01,121.6
1989-03-01,122.3
1989-04-01,123.1
1989-05-01,123.8
1989-06-01,124.1
1989-07-01,124.4
1989-08-01,124.6
1989-09-01,125.0
1989-10-01,125.6
1989-11-01,125.9
1989-12-01,126.1
1990-01-01,127.4
1990-02-01,128.0
1990-03-01,128.7
1990-04-01,128.9
1990-05-01,129.2
1990-06-01,129.9
1990-07-01,130.4
1990-08-01,131.6
1990-09-01,132.7
1990-10-01,133.5
1990-11-01,133.8
1990-12-01,133.8
1991-01-01,134.6
1991-02-01,134.8
1991-03-01,135.0
1991-04-01,135.2
1991-05-01,135.6
1991-06-01,136.0
1991-07-01,136.2
1991-08-01,136.6
1991-09-01,137.2
1991-10-01,137.4
1991-11-01,137.8
1991-12-01,137.9
1992-01-01,138.1
1992-02-01,138.6
1992-03-01,139.3
1992-04-01,139.5
1992-05-01,139.7
1992-06-01,140.2
1992-07-01,140.5
1992-08-01,140.9
1992-09-01,141.3
1992-10-01,141.8
1992-11-01,142.0
1992-12-01,141.9
1993-01-01,142.6
1993-02-01,143.1
1993-03-01,143.6
1993-04-01,144.0
1993-05-01,144.2
1993-06-01,144.4
1993-07-01,144.4
1993-08-01,144.8
1993-09-01,145.1
1993-10-01,145.7
1993-11-01,145.8
1993-12-01,145.8
1994-01-01,146.2
1994-02-01,146.7
1994-03-01,147.2
1994-04-01,147.4
1994-05-01,147.5
1994-06-01,148.0
1994-07-01,148.4
1994-08-01,149.0
1994-09-01,149.4
1994-10-01,149.5
1994-11-01,149.7
1994-12-01,149.7
1995-01-01,150.3
1995-02-01,150.9
1995-03-01,151.4
1995-04-01,151.9
1995-05-01,152.2
1995-06-01,152.5
1995-07-01,152.5
1995-08-01,152.9
1995-09-01,153.2
1995-10-01,153.7
1995-11-01,153.6
1995-12-01,153.5
1996-01-01,154.4
1996-02-01,154.9
1996-03-01,155.7
1996-04-01,156.3
1996-05-01,156.6
1996-06-01,156.7
1996-07-01,157.0
1996-08-01,157.3
1996-09-01,157.8
1996-10-01,158.3
1996-11-01,158.6
1996-12-01,158.6
1997-01-01,159.1
1997-02-01,159.6
1997-03-01,160.0
1997-04-01,160.2
1997-05-01,160.1
1997-06-01,160.3
1997-07-01,160.5
1997-08-01,160.8
1997-09-01,161.2
1997-10-01,161.6
1997-11-01,161.5
1997-12-01,161.3
1998-01-01,161.6
1998-02-01,161.9
1998-03-01,162.2
1998-04-01,162.5
1998-05-01,162.8
1998-06-01,163.0
1998-07-01,163.2
1998-08-01,163.4
1998-09-01,163.6
1998-10-01,164.0
1998-11-01,164.0
1998-12-01,163.9
1999-01-01,164.3
1999-02-01,164.5
1999-03-01,165.0
1999-04-01,166.2
1999-05-01,166.2
1999-06-01,166.2
1999-07-01,166.7
1999-08-01,167.1
1999-09-01,167.9
1999-10-01,168.2
1999-11-01,168.3
1999-12-01,168.3
2000-01-01,168.8
2000-02-01,169.8
2000-03-01,171.2
2000-04-01,171.3
2000-05-01,171.5
2000-06-01,172.4
2000-07-01,172.8
2000-08-01,172.8
2000-09-01,173.7
2000-10-01,174.0
2000-11-01,174.1
2000-12-01,174.0
2001-01-01,175.1
2001-02-01,175.8
2001-03-01,176.2
2001-04-01,176.9
2001-05-01,177.7
2001-06-01,178.0
2001-07-01,177.5
2001-08-01,177.5
2001-09-01,178.3
2001-10-01,177.7
2001-11-01,177.4
2001-12-01,176.7
2002-01-01,177.1
2002-02-01,177.8
2002-03-01,178.8
2002-04-01,179.8
2002-05-01,179.8
2002-06-01,179.9
2002-07-01,180.1
2002-08-01,180.7
2002-09-01,181.0
2002-10-01,181.3
2002-11-01,181.3
2002-12-01,180.9
2003-01-01,181.7
2003-02-01,183.1
2003-03-01,184.2
2003-04-01,183.8
2003-05-01,183.5
2003-06-01,183.7
2003-07-01,183.9
2003-08-01,184.6
2003-09-01,185.2
2003-10-01,185.0
2003-11-01,184.5
2003-12-01,184.3
2004-01-01,185.2
2004-02-01,186.2
2004-03-01,187.4
2004-04-01,188.0
2004-05-01,189.1
2004-06-01,189.7
2004-07-01,189.4
2004-08-01,189.5
2004-09-01,189.9
2004-10-01,190.9
2004-11-01,191.0
2004-12-01,190.3
2005-01-01,190.7
2005-02-01,191.8
2005-03-01,193.3
2005-04-01,194.6
2005-05-01,194.4
2005-06-01,194.5
2005-07-01,195.4
2005-08-01,196.4
2005-09-01,198.8
2005-10-01,199.2
2005-11-01,197.6
2005-12-01,196.8
2006-01-01,198.3
2006-02-01,198.7
2006-03-01,199.8
2006-04-01,201.5
2006-05-01,202.5
2006-06-01,202.9
2006-07-01,203.5
2006-08-01,203.9
2006-09-01,202.9
2006-10-01,201.8
2006-11-01,201.5
2006-12-01,201.8
2007-01-01,202.416
2007-02-01,203.49900000000002
2007-03-01,205.352
2007-04-01,206.68599999999998
2007-05-01,207.949
2007-06-01,208.352
2007-07-01,208.299
2007-08-01,207.917
2007-09-01,208.49
2007-10-01,208.93599999999998
2007-11-01,210.17700000000002
2007-12-01,210.03599999999997
2008-01-01,211.08
2008-02-01,211.69299999999998
2008-03-01,213.528
2008-04-01,214.82299999999998
2008-05-01,216.632
2008-06-01,218.815
2008-07-01,219.96400000000003
2008-08-01,219.08599999999998
2008-09-01,218.783
2008-10-01,216.57299999999998
2008-11-01,212.425
2008-12-01,210.22799999999998
2009-01-01,211.143
2009-02-01,212.19299999999998
2009-03-01,212.709
2009-04-01,213.24
2009-05-01,213.856
2009-06-01,215.69299999999998
2009-07-01,215.351
2009-08-01,215.834
2009-09-01,215.96900000000002
2009-10-01,216.17700000000002
2009-11-01,216.33
2009-12-01,215.949
2010-01-01,216.687
2010-02-01,216.74099999999999
2010-03-01,217.63099999999997
2010-04-01,218.00900000000001
2010-05-01,218.178
2010-06-01,217.965
2010-07-01,218.011
2010-08-01,218.312
2010-09-01,218.43900000000002
2010-10-01,218.71099999999998
2010-11-01,218.803
2010-12-01,219.179
2011-01-01,220.22299999999998
2011-02-01,221.30900000000003
2011-03-01,223.467
2011-04-01,224.90599999999998
2011-05-01,225.96400000000003
2011-06-01,225.722
2011-07-01,225.922
2011-08-01,226.545
2011-09-01,226.889
2011-10-01,226.421
2011-11-01,226.23
2011-12-01,225.672
2012-01-01,226.665
2012-02-01,227.66299999999998
2012-03-01,229.392
2012-04-01,230.085
2012-05-01,229.815
2012-06-01,229.47799999999998
2012-07-01,229.104
2012-08-01,230.37900000000002
2012-09-01,231.407
2012-10-01,231.317
2012-11-01,230.22099999999998
2012-12-01,229.601
2013-01-01,230.28
2013-02-01,232.166
2013-03-01,232.773
2013-04-01,232.53099999999998
2013-05-01,232.945
2013-06-01,233.50400000000002
2013-07-01,233.59599999999998
2013-08-01,233.877
2013-09-01,234.149
2013-10-01,233.546
2013-11-01,233.06900000000002
2013-12-01,233.049
2014-01-01,233.916
2014-02-01,234.78099999999998
2014-03-01,236.293
2014-04-01,237.072
2014-05-01,237.9
2014-06-01,238.343
2014-07-01,238.25
2014-08-01,237.852
2014-09-01,238.03099999999998
2014-10-01,237.433
2014-11-01,236.15099999999998
2014-12-01,234.812
2015-01-01,233.707
2015-02-01,234.722
2015-03-01,236.11900000000003
2015-04-01,236.59900000000002
2015-05-01,237.805
2015-06-01,238.638
2015-07-01,238.65400000000002
2015-08-01,238.31599999999997
2015-09-01,237.945
2015-10-01,237.838
2015-11-01,237.33599999999998
2015-12-01,236.525
2016-01-01,236.916
2016-02-01,237.111
2016-03-01,238.132
2016-04-01,239.261
2016-05-01,240.229
2016-06-01,241.018
2016-07-01,240.628
2016-08-01,240.84900000000002
2016-09-01,241.428
2016-10-01,241.729
2016-11-01,241.35299999999998
2016-12-01,241.43200000000002
