Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
2014-02-18,,,,,0.61,35.8,0.0,80.0
2014-02-19,,,,,0.08,35.88,0.0,80.0
2014-02-20,,,,,0.05,35.83,0.0,80.0
2014-02-21,,,,,0.2,35.63,0.0,80.0
2014-02-24,,,,,0.18,35.45,0.0,80.0
2014-02-25,,,,,,35.45,0.0,80.0
2014-02-26,,,,,0.05,35.5,0.0,80.0
2014-02-27,,,,,0.05,35.55,0.0,80.0
2014-02-28,,,,,0.45,36.0,0.0,80.0
2014-03-03,,,,,,36.0,0.0,80.0
2014-03-04,,,,,0.13,36.13,0.0,80.0
2014-03-05,,,,,0.1,36.03,0.0,80.0
2014-03-06,,,,,0.35,36.38,0.0,80.0
2014-03-07,,,,,0.33,36.05,0.0,80.0
2014-03-11,,,,,0.13,36.13,0.0,80.0
2014-03-12,,,,,0.55,36.68,0.0,80.0
2014-03-13,,,,,0.43,36.25,0.0,80.0
2014-03-14,,,,,,36.25,0.0,80.0
2014-03-17,,,,,0.18,36.43,0.0,80.0
2014-03-18,,,,,0.27,36.7,0.0,80.0
2014-03-19,,,,,0.3,37.0,0.0,80.0
2014-05-16,,,,,,99.7375,0.0,0.0
2014-05-19,,,99.705,,0.015,99.7225,0.0,0.0
2014-05-20,,99.725,,,0.0025,99.72,0.0,0.0
2014-05-21,,,99.7175,,,99.72,0.0,0.0
2014-05-22,,,,,0.0075,99.7125,0.0,0.0
2014-05-23,,,,,,99.7125,0.0,0.0
2014-05-27,,,99.7075,,,99.7125,0.0,0.0
2014-05-28,,,,,0.01,99.7225,0.0,0.0
2014-05-29,,,99.7175,,0.01,99.7125,0.0,0.0
2014-05-30,,,,,,99.7125,0.0,0.0
2014-06-02,,,,,,99.7125,0.0,0.0
2014-06-03,,,,,,99.7125,0.0,0.0
2014-06-04,,,,,,99.7125,0.0,0.0
2014-06-05,,99.7225,,,0.015,99.7275,0.0,0.0
2014-06-06,99.7275,99.7325,99.715,,0.0175,99.71,4.0,0.0
2014-06-09,,,99.6975,,0.015,99.695,0.0,4.0
2014-06-10,,,99.6875,,0.0075,99.6875,0.0,4.0
2014-06-11,,99.695,,,0.01,99.6975,0.0,4.0
2014-06-12,,,99.6875,,0.005,99.6925,0.0,4.0
2014-06-13,,,,,0.025,99.6675,0.0,4.0
2014-06-16,,,99.6575,,0.0175,99.65,0.0,4.0
2014-06-17,,,99.6475,,0.01,99.64,0.0,4.0
2014-06-18,,99.645,,,,99.64,0.0,4.0
2014-06-19,,99.665,,,0.0275,99.6675,0.0,4.0
2014-06-20,,,99.665,,,99.6675,0.0,4.0
2014-06-23,,,,,,99.6675,0.0,4.0
2014-06-24,,,99.665,,,99.6675,0.0,4.0
2014-06-25,,99.68,,,0.015,99.6825,0.0,4.0
2014-06-26,,99.6875,,,0.0075,99.69,0.0,4.0
2014-06-27,,,,,,99.69,0.0,4.0
2014-06-30,,99.6925,,,0.0075,99.6975,0.0,4.0
2014-07-01,,,,,0.005,99.6925,0.0,4.0
2014-07-02,,,,,0.01,99.6825,0.0,4.0
2014-07-03,,,,,0.03,99.6525,0.0,4.0
2014-07-07,,,,,0.015,99.6375,0.0,4.0
2014-07-08,,,,,0.005,99.6425,0.0,4.0
2014-07-09,,,,,0.005,99.6475,0.0,4.0
2014-07-10,,,,,0.035,99.6825,0.0,4.0
2014-07-11,,,,,0.005,99.6775,0.0,4.0
2014-07-14,,,,,0.005,99.6725,0.0,4.0
2014-07-15,,,,,0.025,99.6475,0.0,4.0
2014-07-16,,,,,0.01,99.6375,0.0,4.0
2014-07-17,,,,,0.015,99.6525,0.0,4.0
2014-07-18,,,,,0.01,99.6425,0.0,4.0
2014-07-21,,,,,0.015,99.6275,0.0,4.0
2014-07-22,,,,,0.02,99.6475,0.0,4.0
2014-07-23,,99.6675,,,0.025,99.6725,0.0,4.0
2014-07-24,,,99.67,,0.01,99.6625,0.0,4.0
2014-07-25,,,,,,99.6625,0.0,4.0
2014-07-28,,,99.655,,0.015,99.6475,0.0,4.0
2014-07-29,,,,,0.005,99.6425,0.0,4.0
2014-07-30,,,99.615,,0.005,99.6375,0.0,4.0
2014-07-31,,99.6425,,,0.01,99.6475,0.0,80.0
2014-08-01,,,,,0.055,99.7025,0.0,4.0
2014-08-04,,,99.695,,0.0125,99.69,0.0,4.0
2014-08-05,,,,,,99.69,0.0,4.0
2014-08-06,,,,,0.0025,99.6925,0.0,4.0
2014-08-07,,,,,0.0075,99.7,0.0,4.0
2014-08-08,,,,,,99.7,0.0,4.0
2014-08-11,,,,,0.0025,99.7025,0.0,4.0
2014-08-12,,99.705,,,0.01,99.7125,0.0,4.0
2014-08-13,,99.72,,,0.015,99.7275,0.0,4.0
2014-08-14,,99.73,,,0.01,99.7375,0.0,4.0
2014-08-15,,,,,0.01,99.7475,0.0,4.0
2014-08-18,,,,,0.01,99.7375,0.0,4.0
2014-08-19,,,,,,99.7375,0.0,4.0
2014-08-20,,,,,0.03,99.7075,0.0,4.0
2014-08-21,,,,,,99.7075,0.0,4.0
2014-08-22,,,,,0.02,99.6875,0.0,4.0
2014-08-25,,99.6925,,,0.0125,99.7,0.0,4.0
2014-08-26,,,,,0.005,99.705,0.0,4.0
2014-08-27,,,,,,99.705,0.0,4.0
2014-08-28,,,,,,99.705,0.0,4.0
2014-08-29,,,,,0.005,99.71,0.0,4.0
2014-09-02,,,,,0.015,99.695,0.0,4.0
2014-09-03,,,,,0.005,99.7,0.0,4.0
2014-09-04,,,,,0.01,99.69,0.0,4.0
2014-09-05,,,,,0.025,99.715,0.0,4.0
2014-09-08,,,,,0.025,99.69,0.0,4.0
2014-09-09,,,,,0.02,99.67,0.0,4.0
2014-09-10,,,,,0.005,99.665,0.0,4.0
2014-09-11,,,,,0.005,99.66,0.0,4.0
2014-09-12,,,,,,99.66,0.0,4.0
2014-09-15,,,,,0.015,99.675,0.0,4.0
2014-09-16,,,,,0.01,99.685,0.0,4.0
2014-09-17,,,,,,99.685,0.0,4.0
2014-09-18,,,,,0.01,99.675,0.0,4.0
2014-09-19,,,,,0.005,99.68,0.0,4.0
2014-09-22,,,,,0.02,99.7,0.0,4.0
2014-09-23,,,,,0.005,99.705,0.0,4.0
2014-09-24,,,,,0.015,99.69,0.0,4.0
2014-09-25,,,,,0.025,99.715,0.0,4.0
2014-09-26,,,,,0.02,99.695,0.0,4.0
2014-09-29,,,,,,99.695,0.0,4.0
2014-09-30,,,,,,99.695,0.0,4.0
2014-10-01,,,,,0.04,99.735,0.0,4.0
2014-10-02,,,,,,99.735,0.0,4.0
2014-10-03,,,,,0.015,99.72,0.0,4.0
2014-10-06,,,,,0.02,99.74,0.0,4.0
2014-10-07,,,,,0.015,99.755,0.0,4.0
2014-10-08,,,,,0.065,99.82,0.0,4.0
2014-10-09,,,99.79,,0.0325,99.7875,0.0,4.0
2014-10-10,,,,,,99.7875,0.0,4.0
2014-10-13,,,,,0.04,99.8275,0.0,4.0
2014-10-14,,,,,,99.8275,0.0,4.0
2014-10-15,,,,,0.015,99.8425,0.0,4.0
2014-10-16,,,,,0.02,99.8225,0.0,4.0
2014-10-17,,,,,,99.8225,0.0,4.0
2014-10-20,,,,,0.03,99.8525,0.0,4.0
2014-10-21,,,,,0.005,99.8475,0.0,4.0
2014-10-22,,,,,,99.8475,0.0,4.0
2014-10-23,,,,,0.01,99.8375,0.0,4.0
2014-10-24,,,,,,99.8375,0.0,4.0
2014-10-27,,,,,0.015,99.8525,0.0,4.0
2014-10-28,,,,,,99.8525,0.0,4.0
2014-10-29,,,,,0.035,99.8175,0.0,4.0
2014-10-30,,,,,0.01,99.8275,0.0,4.0
2014-10-31,,,99.815,,0.015,99.8125,0.0,4.0
2014-11-03,,,,,0.005,99.8075,0.0,4.0
2014-11-04,,,,,0.005,99.8025,0.0,4.0
2014-11-05,,,,,0.005,99.7975,0.0,4.0
2014-11-06,,,,,0.015,99.7825,0.0,4.0
2014-11-07,,,,,0.025,99.8075,0.0,4.0
2014-11-10,,,,,0.005,99.8025,0.0,4.0
2014-11-11,,,,,0.01,99.7925,0.0,4.0
2014-11-12,,,,,0.01,99.8025,0.0,4.0
2014-11-13,,,,,0.01,99.8125,0.0,4.0
2014-11-14,99.7975,99.7975,99.7975,,0.01,99.8025,2.0,4.0
2014-11-17,,,,,0.01,99.8125,0.0,6.0
2014-11-18,,,99.81,,0.0075,99.805,0.0,6.0
2014-11-19,,,,,0.005,99.8,0.0,6.0
2014-11-20,,,,,0.0025,99.8025,0.0,6.0
2014-11-21,,,,,,99.8025,0.0,6.0
2014-11-24,,,,,0.005,99.7975,0.0,6.0
2014-11-25,,,,,0.01,99.8075,0.0,6.0
2014-11-26,,,,,,99.8075,0.0,6.0
2014-11-28,,,,,0.005,99.8125,0.0,6.0
2014-12-01,,99.815,,,0.0025,99.815,0.0,6.0
2014-12-02,,,99.8075,,0.01,99.805,0.0,6.0
2014-12-03,,,99.8025,,0.0075,99.7975,0.0,6.0
2014-12-04,,99.8,,,0.0075,99.805,0.0,6.0
2014-12-05,,,99.78,,0.03,99.775,0.0,6.0
2014-12-08,,,,,0.0025,99.7775,0.0,6.0
2014-12-09,,,99.775,,0.0075,99.77,0.0,6.0
2014-12-10,,99.7775,,,0.02,99.79,0.0,6.0
2014-12-11,,,99.7725,,0.0225,99.7675,0.0,6.0
2014-12-12,,99.78,,,0.01,99.7775,0.0,6.0
2014-12-15,,,99.775,,0.0075,99.77,0.0,6.0
2014-12-16,,,,,0.015,99.785,0.0,6.0
2014-12-17,,,99.7775,,,99.785,0.0,6.0
2014-12-18,,,99.77,,0.02,99.765,0.0,6.0
2014-12-19,,,99.7625,,0.005,99.76,0.0,6.0
2014-12-22,,,,,0.0025,99.7625,0.0,6.0
2014-12-23,,,,,0.005,99.7675,0.0,6.0
2014-12-24,,,,,0.005,99.7725,0.0,6.0
2014-12-26,,,,,,99.7725,0.0,6.0
2014-12-29,,,,,,99.7725,0.0,6.0
2014-12-30,,,,,0.0025,99.775,0.0,6.0
2014-12-31,,99.7775,,,0.0025,99.7775,0.0,6.0
2015-01-02,,,,,0.005,99.7725,0.0,6.0
2015-01-05,,,,,0.0025,99.775,0.0,6.0
2015-01-06,,99.78,,,0.01,99.785,0.0,6.0
2015-01-07,,99.7875,,,0.0075,99.7925,0.0,6.0
2015-01-08,,,,,0.0025,99.79,0.0,6.0
2015-01-09,,99.795,,,0.01,99.8,0.0,6.0
2015-01-12,,,,,,99.8,0.0,6.0
2015-01-13,,99.8025,,,0.0075,99.8075,0.0,6.0
2015-01-14,,99.81,,,0.0075,99.815,0.0,6.0
2015-01-15,,,,,0.0025,99.8175,0.0,6.0
2015-01-16,,,,,0.015,99.8025,0.0,6.0
2015-01-20,,99.805,,,0.0075,99.81,0.0,6.0
2015-01-21,,,,,,99.81,0.0,6.0
2015-01-22,,,,,0.005,99.805,0.0,6.0
2015-01-23,,,,,0.005,99.81,0.0,6.0
2015-01-26,,,,,0.005,99.805,0.0,6.0
2015-01-27,,,,,0.0025,99.8075,0.0,6.0
2015-01-29,,,99.81,,0.0125,99.825,0.0,6.0
2015-01-30,99.81,99.81,99.81,,0.015,99.81,300.0,6.0
2015-02-02,,,,,0.0025,99.8075,0.0,305.0
2015-02-03,99.8075,99.8075,99.8075,,0.015,99.7925,200.0,305.0
2015-02-04,99.8,99.8,99.8,,0.0075,99.8,1.0,505.0
2015-02-05,,,,,,99.8,0.0,506.0
2015-02-06,,99.87,99.79,,0.0275,99.7725,0.0,506.0
2015-02-09,,99.7775,,,0.01,99.7825,0.0,506.0
2015-02-10,,99.7875,,,0.0025,99.785,0.0,506.0
2015-02-11,,99.795,,,0.0075,99.7925,0.0,506.0
2015-02-12,,,,,0.0125,99.805,0.0,506.0
2015-02-13,,,,,0.0025,99.8025,0.0,506.0
2015-02-17,99.8,99.8,99.79,,0.01,99.7925,26.0,506.0
2015-02-18,,99.795,,,0.0125,99.805,0.0,532.0
2015-02-19,,,99.8025,,0.0025,99.8075,0.0,532.0
2015-02-20,99.79,99.8,99.7875,,0.0075,99.8,132.0,532.0
2015-02-23,,,,,0.0025,99.8025,0.0,735.0
2015-02-24,,99.8075,,,0.0075,99.81,0.0,735.0
2015-02-25,99.81,99.81,99.81,,,99.81,100.0,735.0
2015-02-26,,,,,0.0025,99.8075,0.0,835.0
2015-02-27,,,,,,99.8075,0.0,835.0
2015-03-02,,,,,0.0025,99.81,0.0,835.0
2015-03-03,,,,,0.0025,99.8075,0.0,835.0
2015-03-04,,,,,,99.8075,0.0,835.0
2015-03-05,,,,,0.0025,99.81,0.0,835.0
2015-03-06,,,99.8075,,,99.81,0.0,835.0
2015-03-09,,,,,,99.81,0.0,835.0
2015-03-10,,,,,0.0025,99.8075,0.0,835.0
2015-03-11,,,,,,99.8075,0.0,835.0
2015-03-12,,,,,,99.8075,0.0,835.0
2015-03-13,,,,,0.0025,99.81,0.0,835.0
2015-03-16,,99.8125,,,0.0025,99.8125,0.0,835.0
2015-03-17,99.815,99.815,99.8075,,,99.8125,212.0,835.0
2015-03-18,99.82,99.82,99.82,,0.0075,99.82,31.0,935.0
2015-03-19,99.8125,99.815,99.8125,,0.0025,99.8175,70.0,904.0
2015-03-20,,,,,,99.8175,0.0,969.0
2015-03-23,,,,,,99.8175,0.0,969.0
2015-03-24,,,,,0.0025,99.82,0.0,969.0
2015-03-25,,,,,,99.82,0.0,969.0
2015-03-26,,,,,0.0025,99.8175,0.0,969.0
2015-03-27,99.82,99.82,99.82,,,99.8175,5.0,969.0
2015-03-30,,,,,0.0025,99.82,0.0,969.0
2015-03-31,,,,,,99.82,0.0,969.0
2015-04-01,99.8175,99.8175,99.8175,,0.0025,99.8175,14.0,969.0
2015-04-02,99.8175,99.8175,99.8175,,,99.8175,1.0,983.0
2015-04-06,,,,,,99.82,0.0,984.0
2015-04-07,,,,,,99.82,0.0,984.0
2015-04-08,,,99.8175,,,99.82,0.0,984.0
2015-04-09,99.8175,99.8175,99.8175,,0.0025,99.8175,10.0,984.0
2015-04-10,,,,,,99.8175,0.0,994.0
2015-04-13,99.8175,99.8175,99.8175,,,99.8175,11.0,994.0
2015-04-14,99.8175,99.8175,99.8175,,,99.8175,21.0,1005.0
2015-04-15,99.8175,99.8175,99.8175,,,99.8175,10.0,1026.0
2015-04-16,,,,,,99.8175,0.0,1036.0
2015-04-17,,,,,,99.8175,0.0,1036.0
2015-04-20,,,,,0.0025,99.815,0.0,1036.0
2015-04-21,,,,,,99.815,0.0,1036.0
2015-04-22,99.82,99.82,99.82,,0.005,99.82,11.0,1036.0
2015-04-23,99.82,99.82,99.82,,,99.82,1.0,1036.0
2015-04-24,99.82,99.82,99.82,,,99.82,1.0,1036.0
2015-04-27,,,,,,99.82,0.0,1037.0
2015-04-28,99.8175,99.8175,99.815,,0.005,99.815,22.0,1037.0
2015-04-29,,,,,0.0025,99.8175,0.0,1059.0
2015-04-30,,,,,,99.8175,0.0,1059.0
2015-05-01,99.8175,99.8175,99.8175,,,99.8175,200.0,1059.0
2015-05-04,99.8175,99.8175,99.8175,,,99.8175,101.0,960.0
2015-05-05,99.8175,99.82,99.8175,,,99.8175,674.0,1061.0
2015-05-06,99.8175,99.8175,99.8175,,,99.8175,950.0,1486.0
2015-05-07,99.8175,99.8175,99.8175,,,99.8175,510.0,1740.0
2015-05-08,99.8175,99.8175,99.8175,,,99.8175,10.0,2250.0
2015-05-11,99.815,99.815,99.815,,,99.8175,1000.0,2250.0
2015-05-12,,,,,,99.8175,0.0,3250.0
2015-05-13,,,,,,99.8175,0.0,3250.0
2015-05-14,,,,,,99.8175,0.0,3250.0
2015-05-15,99.815,99.815,99.815,,0.0025,99.815,100.0,3250.0
2015-05-18,,,,,,99.816,0.0,3250.0
