DATE,nonfinloanus,constructloanus,nonfinloanjp,realgdpjp,realgdpus,xjpus,m2us,m2jp
1970-01-01,918.764,68.9435,80629.4,,4707.112,,5.896e+11,5.896e+11
1970-02-01,,69.2433,,,,,5.863e+11,5.863e+11
1970-03-01,,69.4233,,,,,5.873e+11,5.873e+11
1970-04-01,942.369,69.5445,83553.4,,4715.441,,5.884e+11,5.884e+11
1970-05-01,,69.5922,,,,,5.915e+11,5.915e+11
1970-06-01,,69.472,,,,,5.952e+11,5.952e+11
1970-07-01,959.238,69.6762,87520.3,,4757.213,,5.991e+11,5.991e+11
1970-08-01,,69.8874,,,,,6.049e+11,6.049e+11
1970-09-01,,70.1578,,,,,6.112e+11,6.112e+11
1970-10-01,979.104,70.4831,92647.4,,4708.281,,6.164e+11,6.164e+11
1970-11-01,,70.7558,,,,,6.211e+11,6.211e+11
1970-12-01,,71.3438,,,,,6.265e+11,6.265e+11
1971-01-01,992.14,71.7341,96243.0,,4834.349,358.02,6.33e+11,6.33e+11
1971-02-01,,72.1652,,,,357.545,6.41e+11,6.41e+11
1971-03-01,,72.8177,,,,357.5187,6.499e+11,6.499e+11
1971-04-01,1022.64,73.5507,100639.6,,4861.938,357.5032,6.584e+11,6.584e+11
1971-05-01,,74.296,,,,357.413,6.667e+11,6.667e+11
1971-06-01,,75.0391,,,,357.4118,6.73e+11,6.73e+11
1971-07-01,1046.927,76.2853,106153.3,,4899.95,357.4043,6.796e+11,6.796e+11
1971-08-01,,77.0427,,,,355.78,6.855e+11,6.855e+11
1971-09-01,,77.9896,,,,338.021,6.925e+11,6.925e+11
1971-10-01,1074.708,78.9773,113203.0,,4914.261,331.1105,6.984e+11,6.984e+11
1971-11-01,,79.8791,,,,328.752,7.046e+11,7.046e+11
1971-12-01,,79.9843,,,,320.0727,7.103e+11,7.103e+11
1972-01-01,1095.525,81.2625,117218.5,,5002.436,312.72,7.177e+11,7.177e+11
1972-02-01,,83.0947,,,,305.187,7.257e+11,7.257e+11
1972-03-01,,84.4289,,,,302.5365,7.335e+11,7.335e+11
1972-04-01,1135.65,85.836,121381.3,,5118.278,303.5605,7.384e+11,7.384e+11
1972-05-01,,87.1949,,,,304.3795,7.434e+11,7.434e+11
1972-06-01,,88.2498,,,,302.4145,7.497e+11,7.497e+11
1972-07-01,1163.951,89.7955,128587.6,,5165.448,301.0305,7.595e+11,7.595e+11
1972-08-01,,91.426,,,,301.1609,7.687e+11,7.687e+11
1972-09-01,,92.8494,,,,301.119,7.783e+11,7.783e+11
1972-10-01,1205.632,94.2773,138178.8,,5251.226,301.011,7.869e+11,7.869e+11
1972-11-01,,95.8342,,,,300.9885,7.939e+11,7.939e+11
1972-12-01,,96.8695,,,,301.2405,8.023e+11,8.023e+11
1973-01-01,1240.613,98.7011,144415.7,,5380.502,301.7882,8.103e+11,8.103e+11
1973-02-01,,100.4561,,,,278.4206,8.141e+11,8.141e+11
1973-03-01,,102.4606,,,,261.9014,8.153e+11,8.153e+11
1973-04-01,1288.128,104.3032,150344.0,,5441.504,265.4914,8.197e+11,8.197e+11
1973-05-01,,105.8163,,,,264.6505,8.268e+11,8.268e+11
1973-06-01,,107.5113,,,,264.4981,8.333e+11,8.333e+11
1973-07-01,1328.508,109.2387,157655.4,,5411.935,264.5538,8.365e+11,8.365e+11
1973-08-01,,110.9024,,,,265.22,8.388e+11,8.388e+11
1973-09-01,,112.4848,,,,265.4747,8.393e+11,8.393e+11
1973-10-01,1364.255,113.9684,166235.4,,5462.397,266.3348,8.426e+11,8.426e+11
1973-11-01,,115.5313,,,,278.2625,8.489e+11,8.489e+11
1973-12-01,,117.002,,,,280.1775,8.555e+11,8.555e+11
1974-01-01,1389.477,117.9292,170946.0,,5417.024,298.1336,8.597e+11,8.597e+11
1974-02-01,,119.4011,,,,291.0872,8.642e+11,8.642e+11
1974-03-01,,120.9877,,,,282.1648,8.701e+11,8.701e+11
1974-04-01,1440.686,122.7659,175899.6,,5431.265,277.7741,8.729e+11,8.729e+11
1974-05-01,,124.1513,,,,278.9664,8.746e+11,8.746e+11
1974-06-01,,125.292,,,,282.97,8.778e+11,8.778e+11
1974-07-01,1477.918,126.5844,181591.9,,5378.679,290.98,8.814e+11,8.814e+11
1974-08-01,,127.3706,,,,302.2836,8.841e+11,8.841e+11
1974-09-01,,127.9814,,,,299.084,8.879e+11,8.879e+11
1974-10-01,1510.987,128.6274,189574.7,,5357.166,299.3645,8.933e+11,8.933e+11
1974-11-01,,129.2202,,,,300.075,8.986e+11,8.986e+11
1974-12-01,,129.7876,,,,300.4114,9.021e+11,9.021e+11
1975-01-01,1519.198,130.0257,194504.8,,5292.444,299.6845,9.063e+11,9.063e+11
1975-02-01,,130.6318,,,,291.6583,9.141e+11,9.141e+11
1975-03-01,,131.1786,,,,287.9486,9.25e+11,9.25e+11
1975-04-01,1545.681,131.6391,199854.7,,5333.22,292.1968,9.351e+11,9.351e+11
1975-05-01,,131.7233,,,,291.4305,9.479e+11,9.479e+11
1975-06-01,,131.8532,,,,293.4662,9.63e+11,9.63e+11
1975-07-01,1571.534,131.83,207106.7,,5421.357,296.3741,9.751e+11,9.751e+11
1975-08-01,,131.9313,,,,297.9762,9.831e+11,9.831e+11
1975-09-01,,132.1325,,,,299.909,9.915e+11,9.915e+11
1975-10-01,1605.743,132.863,216891.9,,5494.446,302.3364,9.978e+11,9.978e+11
1975-11-01,,133.3819,,,,302.5453,1.0069e+12,1.0069e+12
1975-12-01,,134.0939,,,,305.67,1.0162e+12,1.0162e+12
1976-01-01,1626.26,135.0484,222726.7,,5618.52,304.6357,1.0266e+12,1.0266e+12
1976-02-01,,136.2984,,,,301.5944,1.0403e+12,1.0403e+12
1976-03-01,,137.9788,,,,300.5183,1.05e+12,1.05e+12
1976-04-01,1673.959,139.8826,228283.1,,5660.972,299.1086,1.0608e+12,1.0608e+12
1976-05-01,,140.9549,,,,299.004,1.0721e+12,1.0721e+12
1976-06-01,,141.6213,,,,299.1909,1.0776e+12,1.0776e+12
1976-07-01,1714.503,142.5971,236026.4,,5689.756,294.641,1.0863e+12,1.0863e+12
1976-08-01,,143.755,,,,290.6259,1.0987e+12,1.0987e+12
1976-09-01,,144.7779,,,,287.361,1.1108e+12,1.1108e+12
1976-10-01,1765.357,146.071,245535.8,,5732.462,291.189,1.125e+12,1.125e+12
1976-11-01,,147.2806,,,,295.1653,1.1382e+12,1.1382e+12
1976-12-01,,148.5136,,,,294.7017,1.152e+12,1.152e+12
1977-01-01,1808.633,149.6394,250517.9,,5799.16,291.0524,1.1652e+12,1.1652e+12
1977-02-01,,151.6731,,,,285.0221,1.1776e+12,1.1776e+12
1977-03-01,,153.6788,,,,280.2265,1.1885e+12,1.1885e+12
1977-04-01,1879.097,156.0952,254608.2,,5912.977,275.2071,1.1996e+12,1.1996e+12
1977-05-01,,158.592,,,,277.4262,1.209e+12,1.209e+12
1977-06-01,,160.6562,,,,272.8609,1.2178e+12,1.2178e+12
1977-07-01,1940.832,162.9974,261720.2,,6017.586,264.8632,1.2267e+12,1.2267e+12
1977-08-01,,165.634,,,,266.6774,1.237e+12,1.237e+12
1977-09-01,,167.5557,,,,266.77,1.2462e+12,1.2462e+12
1977-10-01,2014.056,170.2452,270788.5,,6018.218,254.7445,1.254e+12,1.254e+12
1977-11-01,,172.8184,,,,244.7026,1.2624e+12,1.2624e+12
1977-12-01,,175.0673,,,,241.0229,1.2703e+12,1.2703e+12
1978-01-01,2066.465,177.7143,274734.6,,6039.158,241.081,1.2797e+12,1.2797e+12
1978-02-01,,180.32,,,,240.3722,1.2855e+12,1.2855e+12
1978-03-01,,183.0011,,,,231.8574,1.2922e+12,1.2922e+12
1978-04-01,2156.921,185.8235,278102.8,,6273.963,221.857,1.3004e+12,1.3004e+12
1978-05-01,,188.9707,,,,226.1786,1.3105e+12,1.3105e+12
1978-06-01,,192.106,,,,214.1064,1.3185e+12,1.3185e+12
1978-07-01,2231.729,195.0134,285349.1,,6335.317,199.6955,1.3241e+12,1.3241e+12
1978-08-01,,198.3252,,,,188.7096,1.3335e+12,1.3335e+12
1978-09-01,,201.099,,,,189.9195,1.345e+12,1.345e+12
1978-10-01,2309.006,204.5151,296179.4,,6420.288,183.631,1.3523e+12,1.3523e+12
1978-11-01,,207.5855,,,,192.1425,1.3591e+12,1.3591e+12
1978-12-01,,210.462,,,,195.955,1.366e+12,1.366e+12
1979-01-01,2370.871,211.9456,299336.3,,6433.044,197.755,1.3716e+12,1.3716e+12
1979-02-01,,213.6288,,,,200.5072,1.3778e+12,1.3778e+12
1979-03-01,,215.6358,,,,206.3236,1.3878e+12,1.3878e+12
1979-04-01,2468.149,218.0995,304534.2,,6440.832,216.2852,1.4021e+12,1.4021e+12
1979-05-01,,220.5903,,,,218.4141,1.4102e+12,1.4102e+12
1979-06-01,,223.9688,,,,218.5967,1.423e+12,1.423e+12
1979-07-01,2557.233,228.0921,314257.0,,6487.08,216.51,1.4348e+12,1.4348e+12
1979-08-01,,230.9436,,,,217.9257,1.4466e+12,1.4466e+12
1979-09-01,,233.9281,,,,222.4137,1.4541e+12,1.4541e+12
1979-10-01,2634.053,236.8872,326490.7,,6503.874,230.4845,1.4604e+12,1.4604e+12
1979-11-01,,239.268,,,,244.9842,1.4659e+12,1.4659e+12
1979-12-01,,241.6747,,,,240.3745,1.4737e+12,1.4737e+12
1980-01-01,2702.887,244.1149,333521.0,,6524.912,237.8886,1.4827e+12,1.4827e+12
1980-02-01,,247.048,,,,244.35,1.4946e+12,1.4946e+12
1980-03-01,,248.9923,,,,248.4786,1.4998e+12,1.4998e+12
1980-04-01,2743.985,250.6829,339200.7,,6392.578,250.275,1.5022e+12,1.5022e+12
1980-05-01,,251.3254,,,,228.6286,1.5123e+12,1.5123e+12
1980-06-01,,252.0475,,,,217.9176,1.5292e+12,1.5292e+12
1980-07-01,2806.035,253.6243,346833.5,,6382.892,221.1364,1.5455e+12,1.5455e+12
1980-08-01,,255.0428,,,,223.9138,1.5615e+12,1.5615e+12
1980-09-01,,256.2875,,,,214.4167,1.574e+12,1.574e+12
1980-10-01,2888.5,258.4035,358230.0,,6501.184,209.3227,1.5848e+12,1.5848e+12
1980-11-01,,260.6068,,,,213.1059,1.5958e+12,1.5958e+12
1980-12-01,,262.2834,,,,209.4886,1.5998e+12,1.5998e+12
1981-01-01,2935.341,263.7707,364573.2,,6635.726,202.3667,1.6069e+12,1.6069e+12
1981-02-01,,265.1531,,,,205.7167,1.6187e+12,1.6187e+12
1981-03-01,,266.8392,,,,208.7918,1.6366e+12,1.6366e+12
1981-04-01,3030.157,268.6235,369443.4,,6587.269,214.9759,1.6592e+12,1.6592e+12
1981-05-01,,271.2572,,,,220.6285,1.6642e+12,1.6642e+12
1981-06-01,,273.4038,,,,224.1805,1.6703e+12,1.6703e+12
1981-07-01,3110.547,274.7618,380023.1,,6662.858,232.3261,1.6819e+12,1.6819e+12
1981-08-01,,277.0577,,,,233.3262,1.6943e+12,1.6943e+12
1981-09-01,,278.7288,,,,229.481,1.706e+12,1.706e+12
1981-10-01,3179.651,280.1515,393715.5,,6585.127,231.519,1.7218e+12,1.7218e+12
1981-11-01,,281.6173,,,,223.1267,1.7361e+12,1.7361e+12
1981-12-01,,283.5867,,,,218.9545,1.7555e+12,1.7555e+12
1982-01-01,3226.09,285.4002,400484.0,,6474.973,224.805,1.7704e+12,1.7704e+12
1982-02-01,,287.5623,,,,235.3056,1.7745e+12,1.7745e+12
1982-03-01,,290.207,,,,241.2283,1.7865e+12,1.7865e+12
1982-04-01,3299.186,291.8256,405085.7,,6510.247,244.1068,1.8039e+12,1.8039e+12
1982-05-01,,293.82,,,,236.9635,1.8154e+12,1.8154e+12
1982-06-01,,295.6466,,,,251.1977,1.826e+12,1.826e+12
1982-07-01,3346.576,295.9582,416775.9,,6486.8,255.031,1.8337e+12,1.8337e+12
1982-08-01,,297.0876,,,,259.0455,1.8485e+12,1.8485e+12
1982-09-01,,297.9524,,,,263.2857,1.8624e+12,1.8624e+12
1982-10-01,3400.835,298.668,430467.0,,6493.128,271.615,1.8737e+12,1.8737e+12
1982-11-01,,299.2424,,,,264.0879,1.8873e+12,1.8873e+12
1982-12-01,,299.653,,,,241.9413,1.9093e+12,1.9093e+12
1983-01-01,3441.223,302.0905,440549.1,,6578.175,232.731,1.9624e+12,1.9624e+12
1983-02-01,,303.1623,,,,236.1211,1.9996e+12,1.9996e+12
1983-03-01,,304.3282,,,,238.2543,2.0178e+12,2.0178e+12
1983-04-01,3531.661,306.2567,444894.3,,6728.287,237.7467,2.0311e+12,2.0311e+12
1983-05-01,,308.3139,,,,234.7557,2.0455e+12,2.0455e+12
1983-06-01,,310.8249,,,,240.0314,2.0558e+12,2.0558e+12
1983-07-01,3629.948,314.1926,455982.5,,6860.022,240.516,2.0671e+12,2.0671e+12
1983-08-01,,317.2201,,,,244.4613,2.0762e+12,2.0762e+12
1983-09-01,,320.6919,,,,242.3462,2.0853e+12,2.0853e+12
1983-10-01,3750.236,324.0551,469912.7,,7001.489,232.8855,2.1015e+12,2.1015e+12
1983-11-01,,327.3763,,,,235.03,2.1146e+12,2.1146e+12
1983-12-01,,330.3526,,,,234.4624,2.1257e+12,2.1257e+12
1984-01-01,3854.611,333.7075,478304.8,,7140.597,233.8,2.1404e+12,2.1404e+12
1984-02-01,,337.6043,,,,233.5963,2.1605e+12,2.1605e+12
1984-03-01,,342.0163,,,,225.2664,2.1775e+12,2.1775e+12
1984-04-01,4011.096,346.1789,482054.3,,7266.01,225.2,2.1939e+12,2.1939e+12
1984-05-01,,349.7492,,,,230.4777,2.2064e+12,2.2064e+12
1984-06-01,,353.7386,,,,233.5657,2.2174e+12,2.2174e+12
1984-07-01,4132.872,357.1593,497784.8,,7337.493,243.0676,2.2258e+12,2.2258e+12
1984-08-01,,360.6726,,,,242.2609,2.2325e+12,2.2325e+12
1984-09-01,,364.7314,,,,245.4568,2.2465e+12,2.2465e+12
1984-10-01,4292.249,367.6312,509477.5,,7396.019,246.7545,2.2611e+12,2.2611e+12
1984-11-01,,372.3966,,,,243.6305,2.2836e+12,2.2836e+12
1984-12-01,,376.2431,,,,247.964,2.3088e+12,2.3088e+12
1985-01-01,4419.126,379.0098,520629.2,,7469.545,254.1829,2.3349e+12,2.3349e+12
1985-02-01,,383.1147,,,,260.4778,2.3564e+12,2.3564e+12
1985-03-01,,387.1412,,,,257.9205,2.3685e+12,2.3685e+12
1985-04-01,4564.642,390.5686,523722.4,,7537.928,251.8455,2.3778e+12,2.3778e+12
1985-05-01,,394.4292,,,,251.7295,2.3921e+12,2.3921e+12
1985-06-01,,397.6212,,,,248.84,2.4152e+12,2.4152e+12
1985-07-01,4699.208,401.105,536082.3,,7655.196,241.1364,2.432e+12,2.432e+12
1985-08-01,,405.2282,,,,237.4609,2.4465e+12,2.4465e+12
1985-09-01,,409.7761,,,,236.5275,2.4588e+12,2.4588e+12
1985-10-01,4894.652,414.3636,551429.0,,7712.624,214.6805,2.4706e+12,2.4706e+12
1985-11-01,,418.64,,,,204.0737,2.4802e+12,2.4802e+12
1985-12-01,,422.8814,,,,202.7881,2.4946e+12,2.4946e+12
1986-01-01,4980.713,427.4225,560915.9,,7784.109,199.8905,2.5048e+12,2.5048e+12
1986-02-01,,432.0818,,,,184.8516,2.5153e+12,2.5153e+12
1986-03-01,,437.0615,,,,178.6938,2.5356e+12,2.5356e+12
1986-04-01,5128.267,441.9357,566338.4,,7819.843,175.0918,2.5603e+12,2.5603e+12
1986-05-01,,446.733,,,,167.0314,2.5878e+12,2.5878e+12
1986-06-01,,451.2371,,,,167.5419,2.608e+12,2.608e+12
1986-07-01,5274.804,457.1154,582437.7,,7898.555,158.6059,2.6298e+12,2.6298e+12
1986-08-01,,463.3301,,,,154.1771,2.6497e+12,2.6497e+12
1986-09-01,,469.3373,,,,154.7314,2.6712e+12,2.6712e+12
1986-10-01,5452.888,473.9135,601199.1,,7939.45,156.4723,2.6911e+12,2.6911e+12
1986-11-01,,479.2478,,,,162.8494,2.7049e+12,2.7049e+12
1986-12-01,,490.7508,,,,162.0523,2.7316e+12,2.7316e+12
1987-01-01,5518.737,502.8867,612425.9,,7994.965,154.8295,2.7473e+12,2.7473e+12
1987-02-01,,508.4478,,,,153.4068,2.7511e+12,2.7511e+12
1987-03-01,,516.5573,,,,151.4332,2.757e+12,2.757e+12
1987-04-01,5670.479,524.8605,640027.9,,8084.71,142.8986,2.7713e+12,2.7713e+12
1987-05-01,,532.1782,,,,140.479,2.7766e+12,2.7766e+12
1987-06-01,,541.703,,,,144.5495,2.7782e+12,2.7782e+12
1987-07-01,5798.518,549.4384,662025.2,,8158.035,150.2939,2.7827e+12,2.7827e+12
1987-08-01,,556.2806,,,,147.3343,2.7918e+12,2.7918e+12
1987-09-01,,563.1944,,,,143.291,2.8032e+12,2.8032e+12
1987-10-01,5903.883,570.7356,685186.2,,8292.687,143.32,2.8188e+12,2.8188e+12
1987-11-01,,577.6655,,,,135.3974,2.8235e+12,2.8235e+12
1987-12-01,,585.6639,,,,128.2418,2.831e+12,2.831e+12
1988-01-01,6018.669,591.5777,697106.7,,8339.324,127.6853,2.852e+12,2.852e+12
1988-02-01,,595.8663,,,,129.1665,2.875e+12,2.875e+12
1988-03-01,,601.4221,,,,127.1139,2.8952e+12,2.8952e+12
1988-04-01,6188.741,608.9148,711076.7,,8449.51,124.8976,2.9153e+12,2.9153e+12
1988-05-01,,616.208,,,,124.7871,2.9307e+12,2.9307e+12
1988-06-01,,622.7552,,,,127.4655,2.9428e+12,2.9428e+12
1988-07-01,6323.015,629.8804,734802.3,,8498.282,133.0215,2.9526e+12,2.9526e+12
1988-08-01,,637.3202,,,,133.7661,2.9577e+12,2.9577e+12
1988-09-01,,644.253,,,,134.3176,2.9626e+12,2.9626e+12
1988-10-01,6483.071,651.404,761096.9,,8610.85,128.6805,2.971e+12,2.971e+12
1988-11-01,,656.8783,,,,123.202,2.9859e+12,2.9859e+12
1988-12-01,,663.016,,,,123.6076,2.9939e+12,2.9939e+12
1989-01-01,6586.953,676.45,778764.5,,8697.711,127.3625,2.9972e+12,2.9972e+12
1989-02-01,,682.9834,,,,127.7374,2.9976e+12,2.9976e+12
1989-03-01,,688.8845,,,,130.5504,3.0052e+12,3.0052e+12
1989-04-01,6745.132,698.1901,796881.9,,8766.105,132.0365,3.0114e+12,3.0114e+12
1989-05-01,,704.2696,,,,137.8636,3.0171e+12,3.0171e+12
1989-06-01,,711.8761,,,,143.9809,3.0334e+12,3.0334e+12
1989-07-01,6852.414,720.4837,828398.0,,8831.544,140.424,3.0581e+12,3.0581e+12
1989-08-01,,730.5069,,,,141.4852,3.0801e+12,3.0801e+12
1989-09-01,,739.192,,,,145.07,3.0985e+12,3.0985e+12
1989-10-01,6988.916,745.1687,861944.9,,8850.23,142.2067,3.1203e+12,3.1203e+12
1989-11-01,,752.6937,,,,143.5343,3.1392e+12,3.1392e+12
1989-12-01,,759.8615,,,,143.685,3.1584e+12,3.1584e+12
1990-01-01,7106.245,765.8142,894815.7,,8947.129,144.9819,3.1723e+12,3.1723e+12
1990-02-01,,774.6935,,,,145.6932,3.1847e+12,3.1847e+12
1990-03-01,,781.6291,,,,153.3082,3.1956e+12,3.1956e+12
1990-04-01,7217.567,788.7088,906614.2,,8981.727,158.4586,3.2071e+12,3.2071e+12
1990-05-01,,797.8321,,,,154.0441,3.2058e+12,3.2058e+12
1990-06-01,,805.6254,,,,153.6957,3.2187e+12,3.2187e+12
1990-07-01,7307.892,814.302,934206.9,,8983.945,149.0395,3.2291e+12,3.2291e+12
1990-08-01,,819.2669,,,,147.4609,3.2465e+12,3.2465e+12
1990-09-01,,823.2769,,,,138.4405,3.2591e+12,3.2591e+12
1990-10-01,7378.233,829.0939,957306.6,,8907.363,129.5909,3.2638e+12,3.2638e+12
1990-11-01,,834.3146,,,,129.2155,3.2671e+12,3.2671e+12
1990-12-01,,841.66,,,,133.889,3.2762e+12,3.2762e+12
1991-01-01,7373.737,846.587,967276.7,,8865.564,133.6986,3.2921e+12,3.2921e+12
1991-02-01,,851.7679,,,,130.5358,3.3089e+12,3.3089e+12
1991-03-01,,857.3216,,,,137.3867,3.3263e+12,3.3263e+12
1991-04-01,7449.022,860.6063,978605.0,,8934.366,137.1127,3.337e+12,3.337e+12
1991-05-01,,862.4234,,,,138.2218,3.3477e+12,3.3477e+12
1991-06-01,,865.8952,,,,139.7475,3.3566e+12,3.3566e+12
1991-07-01,7460.682,864.5163,991645.6,,8977.252,137.83,3.3602e+12,3.3602e+12
1991-08-01,,863.745,,,,136.8164,3.359e+12,3.359e+12
1991-09-01,,864.3769,,,,134.2995,3.3589e+12,3.3589e+12
1991-10-01,7494.519,865.7562,1013277.7,,9016.444,130.7723,3.3641e+12,3.3641e+12
1991-11-01,,867.1134,,,,129.6321,3.3696e+12,3.3696e+12
1991-12-01,,868.1059,,,,128.0395,3.3763e+12,3.3763e+12
1992-01-01,7520.588,870.9968,1015794.4,,9122.95,125.4614,3.3849e+12,3.3849e+12
1992-02-01,,873.3806,,,,127.6989,3.4039e+12,3.4039e+12
1992-03-01,,874.6543,,,,132.8627,3.4077e+12,3.4077e+12
1992-04-01,7567.18,881.1469,1023105.3,,9223.545,133.5395,3.4034e+12,3.4034e+12
1992-05-01,,881.7482,,,,130.771,3.4023e+12,3.4023e+12
1992-06-01,,879.4075,,,,126.8355,3.3972e+12,3.3972e+12
1992-07-01,7618.349,878.6296,1033699.7,,9313.208,125.8817,3.3974e+12,3.3974e+12
1992-08-01,,880.2331,,,,126.231,3.4023e+12,3.4023e+12
1992-09-01,,882.9474,,,,122.5967,3.414e+12,3.414e+12
1992-10-01,7689.153,885.7759,1051575.6,,9406.528,121.1652,3.4275e+12,3.4275e+12
1992-11-01,,887.0608,,,,123.88,3.4301e+12,3.4301e+12
1992-12-01,,887.7973,,,,124.0409,3.4287e+12,3.4287e+12
1993-01-01,7727.994,886.1141,1055118.8,,9424.065,124.9932,3.4231e+12,3.4231e+12
1993-02-01,,886.9016,,,,120.7595,3.419e+12,3.419e+12
1993-03-01,,889.8113,,,,117.0174,3.4163e+12,3.4163e+12
1993-04-01,7838.415,892.7086,1057038.5,,9480.106,112.4114,3.4156e+12,3.4156e+12
1993-05-01,,898.1516,,,,110.343,3.4409e+12,3.4409e+12
1993-06-01,,902.3564,,,,107.4118,3.4469e+12,3.4469e+12
1993-07-01,7953.353,904.4394,1065108.1,,9526.337,107.6914,3.4463e+12,3.4463e+12
1993-08-01,,907.2981,,,,103.765,3.4501e+12,3.4501e+12
1993-09-01,,910.6951,,,,105.5748,3.4567e+12,3.4567e+12
1993-10-01,8079.098,914.8564,1077346.2,,9653.509,107.02,3.4611e+12,3.4611e+12
1993-11-01,,919.2161,,,,107.8765,3.4746e+12,3.4746e+12
1993-12-01,,928.6299,,,,109.913,3.4791e+12,3.4791e+12
1994-01-01,8184.074,929.5233,1073805.6,424964.1,9748.156,111.4415,3.4796e+12,3.4796e+12
1994-02-01,,929.5358,,,,106.3011,3.4806e+12,3.4806e+12
1994-03-01,,931.8441,,,,105.0974,3.4859e+12,3.4859e+12
1994-04-01,8317.437,935.522,1070244.9,422759.2,9881.384,103.4843,3.4891e+12,3.4891e+12
1994-05-01,,939.7836,,,,103.7533,3.4986e+12,3.4986e+12
1994-06-01,,944.6788,,,,102.5264,3.4872e+12,3.4872e+12
1994-07-01,8444.121,951.4079,1083003.8,428142.9,9939.655,98.445,3.4958e+12,3.4958e+12
1994-08-01,,957.4842,,,,99.9404,3.4929e+12,3.4929e+12
1994-09-01,,965.1201,,,,98.7743,3.493e+12,3.493e+12
1994-10-01,8613.073,971.2659,1094437.9,426117.8,10052.518,98.353,3.4914e+12,3.4914e+12
1994-11-01,,977.8024,,,,98.044,3.4945e+12,3.4945e+12
